Resource ID(s),Unique Identifier,Item Title,Subject,Description,Ancillary Materials,Date,Date Type,Physical Format,Storage Location,Duration Physical,Condition,Contributor,Publisher,Written notes on casing,Preservation Checksum Value,Preservation Filename,Preservation File Location,Preservation Filesize,Digital QC notes,Digitization Grant,Digitization Vendor,Preservation Sample Rate,Preservation Bit Depth,Proxy Filename,Duration Digital,Identifier2,IdentifierSource2
15383,CD-1331,CD-1331 title,,,,2009-01-07,unknown,CD,KBOO Archives Room,00:59:00,,Robert Fisk,,,,,,,,,,,,,,,
16607,CD-2534,"Dlerch, MRabiniwitzOliviaSchmidtOnClimateChange",Environment/Climate,,,2009-01-01,unknown,CD,KBOO Archives Room,,,Peter Schumacher,,,,,,,,,,,,,,,
16387,CD-2336,on sales tax on medical equipment,Health,,,2009-01-01,unknown,CD,KBOO Archives Room,,,Tom Coogan,,,,,,,,,,,,,,,
16079,CD-2028,"Coltan & The Congo, from Econvergence 2009","Global Affairs, Environment/Climate, Energy/Natural Resources, Corporations",,,2009-01-01,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
15836,CD-1784,CD-1784 title,Radio,"Pacifica '60Years, 60VoicesCollection:many hours",,2009-01-01,unknown,CD,KBOO Archives Room,,,Lew Hill,,,,,,,,,,,,,,,
15765,CD-1713,unknown title,,,,2009-01-01,unknown,CD,KBOO Archives Room,,,Barbara Ehrenreich,,,,,,,,,,,,,,,
15759,CD-1707,DLerchMRabinowitzOSchmidt-ClimateChange,Environment/Climate,,,2009-01-01,unknown,CD,KBOO Archives Room,,,Peter Schumacher,,,,,,,,,,,,,,,
15458,CD-1406,ofWesternLandsProjectOnExchangeOfPublicLandswith Priv,Energy/Natural Resources,,,2009-01-01,unknown,CD,KBOO Archives Room,00:27:26,,Janine Blaeloch,,,,,,,,,,,,,,,
15431,CD-1379,wrote novel 'My Abandonment'-living in ForestPark,"Fiction, Housing/Homelessness",,,2009-01-01,unknown,CD,KBOO Archives Room,00:26:00,,Peter Rock,,,,,,,,,,,,,,,
15396,CD-1344,interview,,,,2009-01-01,unknown,CD,KBOO Archives Room,00:29:05,,Chuck Sudetic,,,,,,,,,,,,,,,
16306,CD-2255,nurse/translator at clinics,"Health, Immigration, Latin@/Hispanic",,,2008-12-29,unknown,CD,KBOO Archives Room,00:29:03,,Margaret Kummerow,,,,,,,,,,,,,,,
15687,CD-1635,CD-1635 title,Global Affairs,Gaza attacks,,2008-12-29,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
15500,CD-1448,CD-1448 title,,,,2008-12-24,unknown,CD,KBOO Archives Room,00:57:01,,Ben Barber,,,,,,,,,,,,,,,
15406,CD-1354,unknown title,,,,2008-12-18,unknown,CD,KBOO Archives Room,,,Aaron Glantz,,,,,,,,,,,,,,,
16308,CD-2257,a nuese discusses her work,Health,,,2008-12-16,unknown,CD,KBOO Archives Room,00:27:16,,Ruth Palma,,,,,,,,,,,,,,,
16519,CD-2463,Guess Who's Coming To Radio,History,,,2008-12-11,unknown,CD,KBOO Archives Room,,,George Page (KBOO),KBOO,,,,,,,,,,,,,,
16398,CD-2347,on job training for the blind,"Disability, Labor",,,2008-12-05,unknown,CD,KBOO Archives Room,,,Kirk Adams,,,,,,,,,,,,,,,
15440,CD-1388,saves drills (mammal) in Nigeria,"Animals, Global Affairs",,,2008-12-05,unknown,CD,KBOO Archives Room,00:38:07,,Liza Gadsby,,,,,,,,,,,,,,,
16096,CD-2045,Mumbai & Nukes,Global Affairs,,,2008-12-04,unknown,CD,KBOO Archives Room,,,Jacqueline Cabasso,,,,,,,,,,,,,,,
16381,CD-2330,"AnnShottOnShrinkingOregonian, CNNvs.AP",Media,,,2008-12-03,unknown,CD,KBOO Archives Room,,,Ron Lovell,,,,,,,,,,,,,,,
15245,CD-1192,CD-1192 title,Government/Politics,on Terrorism,,2008-12-03,unknown,CD,KBOO Archives Room,00:59:00,,Noam Chomsky,,,,,,,,,,,,,,,
15243,CD-1190,CD-1190 title,Environment/Climate,,,2008-12-02,unknown,CD,KBOO Archives Room,,,Paul Ehrlich,,,,,,,,,,,,,,,
16382,CD-2331,Oregonian layoffs MWesterlingOnMediaActivism,Media,,,2008-11-26,unknown,CD,KBOO Archives Room,,,Eric Boehlert,,,,,,,,,,,,,,,
15246,CD-1193,"DKHolm, Dawn-sample show","Film, History",,,2008-11-26,unknown,CD,KBOO Archives Room,,,Ed Goldberg,,,,,,,,,,,,,,,
15239,CD-1186,interview,,,,2008-11-26,unknown,CD,KBOO Archives Room,00:29:11,,Alex Arndt,,,,,,,,,,,,,,,
15240,CD-1187,The Digital Divide - pilot show,"Science/Technology, History",,,2008-11-20,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
15581,CD-1529,CD-1529 title,,,,2008-11-19,unknown,CD,KBOO Archives Room,,,Roy Bourgeois,,,,,,,,,,,,,,,
15247,CD-1194,interview,Fiction,,,2008-11-18,unknown,CD,KBOO Archives Room,00:59:07,,Salman Rushdie,,,,,,,,,,,,,,,
15237,CD-1184,wroteTheAmericanRestingPlace-about cemeteries,Arts/Culture,,,2008-11-11,unknown,CD,KBOO Archives Room,00:27:04,,Marilyn Yalom,,,,,,,,,,,,,,,
15200,CD-1147,wrote'Love&BiologyAtTheCenterOfTheUniverse,"Fiction, Women",,,2008-11-11,unknown,CD,KBOO Archives Room,00:27:06,,Jenny Shortridge,,,,,,,,,,,,,,,
16385,CD-2334,wrote LookMeInTheEye on Asberger's,"Disability, Health",,,2008-11-06,unknown,CD,KBOO Archives Room,,,John Robison,,,,,,,,,,,,,,,
15705,CD-1653,election night 2008,Government/Politics,,,2008-11-04,unknown,CD,KBOO Archives Room,,,Barack Obama,,,,,,,,,,,,,,,
15182,CD-1129,CD-1129 title,"Media, War/Peace, Global Affairs",wrote'BeyondTheGreenZone',,2008-11-01,unknown,CD,KBOO Archives Room,00:59:00,,Dahr Jamail,,,,,,,,,,,,,,,
16390,CD-2339,on voting machine for the disabled,"Disability, Government/Politics",,,2008-10-24,unknown,CD,KBOO Archives Room,,,Greg Kimsey,,,,,,,,,,,,,,,
16379,CD-2328,Elizabeth. Miae Kim introduces her neighbors,neighborhoods,,,2008-10-23,unknown,CD,KBOO Archives Room,00:28:19,,Tatiana Bondichuk,,,,,,,,,,,,,,,
16598,CD-2530_p2_d3,"special on police brutality, part 2 disk 3",Police,,,2008-10-22,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
16597,CD-2530_p2_d2,"special on police brutality, part 2 disk 2",Police,,,2008-10-22,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
16596,CD-2530_p2_d1,"special on police brutality, part 2 disk 1",Police,,,2008-10-22,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
16595,CD-2530_d5,"special on police brutality disk 5, 2 copies",Police,,,2008-10-22,unknown,CD,KBOO Archives Room,05:00:00,,,,,,,,,,,,,,,,,
16594,CD-2530_d4,"special on police brutality disk 4, 2 copies",Police,,,2008-10-22,unknown,CD,KBOO Archives Room,05:00:00,,,,,,,,,,,,,,,,,
16593,CD-2530_d3,"special on police brutality disk 3, 2 copies",Police,,,2008-10-22,unknown,CD,KBOO Archives Room,05:00:00,,,,,,,,,,,,,,,,,
16592,CD-2530_d2,"special on police brutality disk 2, 2 copies",Police,,,2008-10-22,unknown,CD,KBOO Archives Room,05:00:00,,,,,,,,,,,,,,,,,
16591,CD-2530_d1,"special on police brutality disk 1, 2 copies",Police,,,2008-10-22,unknown,CD,KBOO Archives Room,05:00:00,,,,,,,,,,,,,,,,,
15842,CD-1790,DayToEndPoliceBrutality#5,Police,,,2008-10-22,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
15841,CD-1789,DayToEndPoliceBrutality#4,"Police, Media",,,2008-10-22,unknown,CD,KBOO Archives Room,,,Matt Davis,,,,,,,,,,,,,,,
15840,CD-1788,DayToEndPoliceBrutality#3,Police,,,2008-10-22,unknown,CD,KBOO Archives Room,,,Lennox Yearwood,,,,,,,,,,,,,,,
15839,CD-1787,DayToEndPoliceBrutality#2,"Police, Race",,,2008-10-22,unknown,CD,KBOO Archives Room,,,Dan Handelman,,,,,,,,,,,,,,,
15838,CD-1786,DayToEndPoliceBrutality#1,Police,,,2008-10-22,unknown,CD,KBOO Archives Room,,,Dan Handelman,,,,,,,,,,,,,,,
15173,CD-1120,RichardRiggs-DemCandidates-Ore.HouseDist.19&20,Government/Politics,,,2008-10-22,unknown,CD,KBOO Archives Room,00:29:14,,Hanter Day,,,,,,,,,,,,,,,
15419,CD-1367,presidential election & the Middle east,"Government/Politics, Global Affairs",,,2008-10-17,unknown,CD,KBOO Archives Room,,,Phyllis Bennis,,,,,,,,,,,,,,,
15241,CD-1188,CD-1188 title,,speech,,2008-10-17,unknown,CD,KBOO Archives Room,00:59:00,,Naomi Klein,,,,,,,,,,,,,,,
16100,CD-2049,NW winter soldier,,,,2008-10-16,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
15168,CD-1115,CD-1115 title,,,,2008-10-15,unknown,CD,KBOO Archives Room,00:59:00,,Andrew Bacevich,,,,,,,,,,,,,,,
15204,CD-1151,interview,,,,2008-10-14,unknown,CD,KBOO Archives Room,00:27:00,,Garth Stein,,,,,,,,,,,,,,,
15203,CD-1150,wrote 'Yellow Moon',"Fiction, African American",,,2008-10-14,unknown,CD,KBOO Archives Room,00:26:00,,Jewel Parker Rhodes,,,,,,,,,,,,,,,
16099,CD-2048,interview,,,,2008-10-13,unknown,CD,KBOO Archives Room,,,David Cay Johnston,,,,,,,,,,,,,,,
15385,CD-1333,TheImpactOfColonialismOnAmerica,"Race, latin america",,,2008-10-13,unknown,CD,KBOO Archives Room,,,Carlos Chavez (KBOO),KBOO,,,,,,,,,,,,,,
15186,CD-1133,Project Censored,Media,,,2008-10-09,unknown,CD,KBOO Archives Room,00:30:00,,,,,,,,,,,,,,,,,
15233,CD-1180,CD-1180 title,,,,2008-10-08,unknown,CD,KBOO Archives Room,00:59:00,,George Lakoff,,,,,,,,,,,,,,,
16104,CD-2053,unknown title,,,,2008-10-07,unknown,CD,KBOO Archives Room,,,Drew Westen,,,,,,,,,,,,,,,
15259,CD-1206,CD-1206 title,,,,2008-10-04,unknown,CD,KBOO Archives Room,,,Thor Henson,,,,,,,,,,,,,,,
16544,CD-2486,CD-2486 title,,,,2008-10-01,unknown,CD,KBOO Archives Room,,,Emi Mclean,,,,,,,,,,,,,,,
16543,CD-2485,CD-2485 title,,,,2008-10-01,unknown,CD,KBOO Archives Room,,,Roy Bourgeois,,,,,,,,,,,,,,,
16516,CD-2458_d8,Peak Oil Day,,,,2008-10-01,unknown,CD,KBOO Archives Room,09:00:00,,,,,,,,,,,,,,,,,
16515,CD-2458_d7,Peak Oil Day,,,,2008-10-01,unknown,CD,KBOO Archives Room,09:00:00,,,,,,,,,,,,,,,,,
16514,CD-2458_d6,Peak Oil Day,,,,2008-10-01,unknown,CD,KBOO Archives Room,09:00:00,,,,,,,,,,,,,,,,,
16513,CD-2458_d5,Peak Oil Day,,,,2008-10-01,unknown,CD,KBOO Archives Room,09:00:00,,,,,,,,,,,,,,,,,
16512,CD-2458_d4,Peak Oil Day,,,,2008-10-01,unknown,CD,KBOO Archives Room,09:00:00,,,,,,,,,,,,,,,,,
16511,CD-2458_d3,Peak Oil Day,,,,2008-10-01,unknown,CD,KBOO Archives Room,09:00:00,,,,,,,,,,,,,,,,,
16510,CD-2458_d2,Peak Oil Day,,,,2008-10-01,unknown,CD,KBOO Archives Room,09:00:00,,,,,,,,,,,,,,,,,
16509,CD-2458_d1,Peak Oil Day,,,,2008-10-01,unknown,CD,KBOO Archives Room,09:00:00,,,,,,,,,,,,,,,,,
15579,CD-1527,CD-1527 title,,,,2008-10-01,unknown,CD,KBOO Archives Room,,,Chris Hedges,,,,,,,,,,,,,,,
16097,CD-2046,traveling light,,,,2008-09-25,unknown,CD,KBOO Archives Room,,,Kieth Weston,,,,,,,,,,,,,,,
15194,CD-1141,on Presswatch,Government/Politics,,,2008-09-25,unknown,CD,KBOO Archives Room,,,David Ray Griffin,,,,,,,,,,,,,,,
15193,CD-1140,RadioBeyondBorders: pilot show,History,,,2008-09-25,unknown,CD,KBOO Archives Room,00:17:20,,Miae Kim,,,,,,,,,,,,,,,
15219,CD-1166,CD-1166 title,,,,2008-09-24,unknown,CD,KBOO Archives Room,00:59:00,,Ahmed Rashid,,,,,,,,,,,,,,,
15212,CD-1159,man killed by Portland police,"Police, Housing/Homelessness, Health",,,2008-09-17,unknown,CD,KBOO Archives Room,00:28:18,,James Casse,,,,,,,,,,,,,,,
15198,CD-1145,unknown title,,,,2008-09-16,unknown,CD,KBOO Archives Room,00:26:00,,Richard Bausch,,,,,,,,,,,,,,,
15255,CD-1202,pedestrian rights,Transportation,,,2008-09-13,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
15174,CD-1121,Portland speech-sustainable vs. commodity agriculture,"Agriculture, Environment/Climate",,,2008-09-12,unknown,CD,KBOO Archives Room,,,Wes Jackson,,,,,,,,,,,,,,,
15711,CD-1659,interview,,,,2008-09-11,unknown,CD,KBOO Archives Room,00:21:04,,Matt Gonzalez,,,,,,,,,,,,,,,
15199,CD-1146,CD-1146 title,Science/Technology,Alternative RadioocketScientistSpeaksOut,,2008-09-11,unknown,CD,KBOO Archives Room,00:13:13,,Bob Bowman,,,,,,,,,,,,,,,
15222,CD-1169,CD-1169 title,Government/Politics,,,2008-09-10,unknown,CD,KBOO Archives Room,00:59:00,,Tom Hayden,,,,,,,,,,,,,,,
15702,CD-1650,KBOO Board candidate forum,History,,,2008-09-08,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
15229,CD-1176,CD-1176 title,Agriculture,,,2008-09-05,unknown,CD,KBOO Archives Room,,,Wes Jackson,,,,,,,,,,,,,,,
15197,CD-1144,interview,,,,2008-09-04,unknown,CD,KBOO Archives Room,,,Garth Stein,,,,,,,,,,,,,,,
15196,CD-1143,interview,,,,2008-08-27,unknown,CD,KBOO Archives Room,00:27:21,,S McDaniel,,,,,,,,,,,,,,,
15641,CD-1589,"Sean Reagan, Kara Tomlinson",Arts/Culture,,,2008-08-24,unknown,CD,KBOO Archives Room,,,Rachel Hibbard,,,,,,,,,,,,,,,
15390,CD-1338,NPR host wrote a book,Media,,,2008-08-19,unknown,CD,KBOO Archives Room,00:55:12,,Scott Simon,,,,,,,,,,,,,,,
15166,CD-1113,CD-1113 title,,wrote'What'sTheMatterWithKansas?',,2008-08-14,unknown,CD,KBOO Archives Room,,,Thomas Frank,,,,,,,,,,,,,,,
15640,CD-1588,unknown title,Arts/Culture,,,2008-08-07,unknown,CD,KBOO Archives Room,,,Vonda Park,,,,,,,,,,,,,,,
15227,CD-1174,Anthrax-Presswatch,,,,2008-08-07,unknown,CD,KBOO Archives Room,00:30:00,,,,,,,,,,,,,,,,,
15205,CD-1152,interview,,,,2008-08-06,unknown,CD,KBOO Archives Room,,,Kate Vietch,,,,,,,,,,,,,,,
15732,CD-1680,CD-1680 title,"Economy, Global Affairs",wrote'ConfessionsOfAnEconomicHitman-economic imper,,2008-08-02,unknown,CD,KBOO Archives Room,00:56:35,,John Perkins,,,,,,,,,,,,,,,
15224,CD-1171,wrote mystery 'High Hat',Fiction,,,2008-08-01,unknown,CD,KBOO Archives Room,00:26:33,,Greg Mandel,,,,,,,,,,,,,,,
15645,CD-1593,curator of Maryhill Museum,Arts/Culture,,,2008-07-31,unknown,CD,KBOO Archives Room,,,Lynn Musgrave,,,,,,,,,,,,,,,
15192,CD-1139,"wrotetrilogy:BakerCity1948, Roseburg1959, Tillamook1",,,,2008-07-31,unknown,CD,KBOO Archives Room,00:27:18,,George Wright,,,,,,,,,,,,,,,
15293,CD-1240,converts waste heat from factories to energy,"Environment/Climate, Energy/Natural Resources",,,2008-07-29,unknown,CD,KBOO Archives Room,00:20:34,,Shaun Gaston,,,,,,,,,,,,,,,
15216,CD-1163,CD-1163 title,Economy,Web Of Debt',,2008-07-22,unknown,CD,KBOO Archives Room,,,Ellen Brown,,,,,,,,,,,,,,,
15607,CD-1555,wrote book 0on trees of Portland,"Environment/Climate, Agriculture",,,2008-07-17,unknown,CD,KBOO Archives Room,,,Phyllis Reynold,,,,,,,,,,,,,,,
15254,CD-1201,CD-1201 title,,Comfort',,2008-07-15,unknown,CD,KBOO Archives Room,,,Anne Hood,,,,,,,,,,,,,,,
15287,CD-1234,dogs trained to detect landmines,"Animals, War/Peace",,,2008-07-12,unknown,CD,KBOO Archives Room,00:17:15,,Perry Baltimore,,,,,,,,,,,,,,,
15642,CD-1590,unknown title,Arts/Culture,,,2008-07-10,unknown,CD,KBOO Archives Room,,,Brian Borello,,,,,,,,,,,,,,,
15567,CD-1515,"GeorgeHunsinger, DariusRegali on torture",War/Peace,,,2008-07-07,unknown,CD,KBOO Archives Room,,,Kevin Finney,,,,,,,,,,,,,,,
15643,CD-1591,Food & Art,"Arts/Culture, Food",,,2008-07-03,unknown,CD,KBOO Archives Room,,,Jane Beebe,,,,,,,,,,,,,,,
15710,CD-1658,Broken Feather interview,,,,2008-06-19,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
15553,CD-1501,unknown title,Arts/Culture,,,2008-06-19,unknown,CD,KBOO Archives Room,,,T.J. Norris,,,,,,,,,,,,,,,
15218,CD-1165,Diana J-M: Queer Lit,"LGBTQ, Civil Rights/Human Rights",,,2008-06-17,unknown,CD,KBOO Archives Room,,,Jacob Anderson-Minshall (KBOO),KBOO,,,,,,,,,,,,,,
15189,CD-1136,CD-1136 title,Government/Politics,,,2008-06-15,unknown,CD,KBOO Archives Room,01:58:00,,Jeremy Scahill,,,,,,,,,,,,,,,
15188,CD-1135,interview,,,,2008-06-13,unknown,CD,KBOO Archives Room,00:25:31,,David Sirota,,,,,,,,,,,,,,,
15564,CD-1512,BillLeporeOnPortland State University scholarships,"Arts/Culture, Education",,,2008-06-12,unknown,CD,KBOO Archives Room,,,Alexa Pangelly,,,,,,,,,,,,,,,
15439,CD-1387,Charity Fair,,,,2008-06-11,unknown,CD,KBOO Archives Room,00:19:14,,,,,,,,,,,,,,,,,
15438,CD-1386,interview,,,,2008-06-06,unknown,CD,KBOO Archives Room,,,John Perkns,,,,,,,,,,,,,,,
15637,CD-1585,Caldera art camp,"Arts/Culture, Youth",,,2008-06-05,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
15169,CD-1116,AmyStarkeMartinezOfOregonianOnNewWayOfObituaryWri,"Arts/Culture, Media",,,2008-06-02,unknown,CD,KBOO Archives Room,00:29:14,,Jim Scheeler,,,,,,,,,,,,,,,
15185,CD-1132,BrennaBell on Graywater reclamation,Energy/Natural Resources,,,2008-05-28,unknown,CD,KBOO Archives Room,,,Art Ludwig,,,,,,,,,,,,,,,
15214,CD-1161,International festival at Portland church,,,,2008-05-22,unknown,CD,KBOO Archives Room,00:26:18,,Miae Kim,,,,,,,,,,,,,,,
15485,CD-1433,CD-1433 title,,,,2008-05-21,unknown,CD,KBOO Archives Room,,,Bobbie Wren Banks,,,,,,,,,,,,,,,
15171,CD-1118,Locus Focus sample show,"Government/Politics, Environment/Climate",,,2008-05-21,unknown,CD,KBOO Archives Room,01:30:00,,Barbara Bernstein (KBOO host),KBOO,,,,,,,,,,,,,,
15220,CD-1167,unknown title,,,,2008-05-20,unknown,CD,KBOO Archives Room,,,Elise Albert,,,,,,,,,,,,,,,
15512,CD-1460,CD-1460 title,War/Peace,,,2008-05-19,unknown,CD,KBOO Archives Room,00:27:00,,Cindy Sheehan,,,,,,,,,,,,,,,
15170,CD-1117,OldMoleVarietyHour-sample show,"Government/Politics, History",,,2008-05-19,unknown,CD,KBOO Archives Room,01:00:00,,Bill Resnick (KBOO Host),KBOO,,,,,,,,,,,,,,
15554,CD-1502,last Electric Salon?,"Government/Politics, History",,,2008-05-16,unknown,CD,KBOO Archives Room,,,Marlene Smith,,,,,,,,,,,,,,,
15680,CD-1628,60thAnniversaryOfPalestinianNakba-Dispossession,"Global Affairs, War/Peace",,,2008-05-15,unknown,CD,KBOO Archives Room,00:18:00,,,,,,,,,,,,,,,,,
15435,CD-1383,CD-1383 title,African American,,,2008-05-14,unknown,CD,KBOO Archives Room,,,Ramona Africa,,,,,,,,,,,,,,,
15286,CD-1233,wroteTheLegendOfColtonHBryan,,,,2008-05-13,unknown,CD,KBOO Archives Room,00:29:20,,Alexandra Fuller,,,,,,,,,,,,,,,
15507,CD-1455,debate with Greg Macpherson for Ore. Sec of State,Government/Politics,,,2008-05-09,unknown,CD,KBOO Archives Room,00:51:17,,John Kroger,,,,,,,,,,,,,,,
15608,CD-1556,"ChrisHabersham, MarkMeltzer-MuralProject",Arts/Culture,,,2008-05-08,unknown,CD,KBOO Archives Room,,,JoAnn Oleksiak,,,,,,,,,,,,,,,
15221,CD-1168,MEChA,Global Affairs,,,2008-05-08,unknown,CD,KBOO Archives Room,00:22:33,,,,,,,,,,,,,,,,,
16388,CD-2337,wrote They Can't Find Anything wrong,Health,,,2008-05-01,unknown,CD,KBOO Archives Room,,,David Clark,,,,,,,,,,,,,,,
15573,CD-1521,TheWorldBehindTheWorld',,,,2008-04-24,unknown,CD,KBOO Archives Room,,,Michael Meade,,,,,,,,,,,,,,,
15421,CD-1369,CD-1369 title,,APoeticsOfPeace:TheWorldBehindTheWorld,,2008-04-24,unknown,CD,KBOO Archives Room,,,Michael Meade,,,,,,,,,,,,,,,
15279,CD-1226,PortlandOrchid&BambooQuartet,"Music, Global Affairs",,,2008-04-24,unknown,CD,KBOO Archives Room,00:28:10,,Jiyu Yang,,,,,,,,,,,,,,,
15207,CD-1154,reads from 'Lavinia',Fiction,,,2008-04-22,unknown,CD,KBOO Archives Room,00:27:20,,Ursula LeGuin,,,,,,,,,,,,,,,
15556,CD-1504,CD-1504 title,,,,2008-04-15,unknown,CD,KBOO Archives Room,00:29:18,,Maude Barlow,,,,,,,,,,,,,,,
15281,CD-1228,MarkThompson,,,,2008-04-15,unknown,CD,KBOO Archives Room,00:42:18,,Malcolm Boyd,,,,,,,,,,,,,,,
15709,CD-1657,CD-1657 title,,ALittleBitOfSoMuchTruth' on Xicanismo show,,2008-04-10,unknown,CD,KBOO Archives Room,,,Jill Friedberg,,,,,,,,,,,,,,,
15517,CD-1465,interview,Economy,,,2008-04-07,unknown,CD,KBOO Archives Room,,,Kevin Phillips,,,,,,,,,,,,,,,
15257,CD-1204,interview,Military/Veterans,,,2008-04-06,unknown,CD,KBOO Archives Room,,,Hugh Wilford,,,,,,,,,,,,,,,
16508,CD-2457,Climate change,Environment/Climate,,,2008-04-04,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
15165,CD-1112,CD-1112 title,Fiction,"novel;RobinScott, DougFine-memoirs",,2008-04-01,unknown,CD,KBOO Archives Room,,,Jane Smiley,,,,,,,,,,,,,,,
15285,CD-1232,"ChanningDodson, MoiraMcCauliffe:cursingIn65Languag",Humor,,,2008-03-31,unknown,CD,KBOO Archives Room,00:35:19,,R.V. Brannam,,,,,,,,,,,,,,,
17199,CS-1498,CS-1498 title,,,,2008-03-21,unknown,1/8 inch audio cassette,KBOO Archives Room,,,David Cay Johnston,,,,,,,,,,,,,,,
16522,CD-2466,on Pakistan,Global Affairs,,,2008-03-21,unknown,CD,KBOO Archives Room,,,Saba Ahmed,,,,,,,,,,,,,,,
15633,CD-1581,Melissa Bragan at Contemporary Crafts Gallery,Arts/Culture,,,2008-03-20,unknown,CD,KBOO Archives Room,,,Inguna Skuta,,,,,,,,,,,,,,,
15178,CD-1125,CD-1125 title,Energy/Natural Resources,wroteBlueCovenant:TheGlobalWaterCrisis,,2008-03-16,unknown,CD,KBOO Archives Room,00:59:00,,Maude Barlow,,,,,,,,,,,,,,,
15177,CD-1124,CD-1124 title,War/Peace,WinterSoldier-truth commission for Iraq,,2008-03-15,unknown,CD,KBOO Archives Room,00:59:00,,George W. Bush,,,,,,,,,,,,,,,
15289,CD-1236,phytoremediation-plantsThatRemovePollutantsFromSoi,Environment/Climate,,,2008-03-12,unknown,CD,KBOO Archives Room,00:20:07,,Leon Kochian,,,,,,,,,,,,,,,
15272,CD-1219,animator,Arts/Culture,,,2008-03-11,unknown,CD,KBOO Archives Room,00:29:04,,Jim Woodring,,,,,,,,,,,,,,,
15261,CD-1208,on national health care,Health,,,2008-03-10,unknown,CD,KBOO Archives Room,00:31:00,,Dr. Don McCann,,,,,,,,,,,,,,,
15513,CD-1461,"BlaqueButterfly, RoDeezy reading","Poetry, Women",,,2008-03-08,unknown,CD,KBOO Archives Room,,,Christine Orbe,,,,,,,,,,,,,,,
15510,CD-1458,CD-1458 title,"Poetry, Women",anthology of women's poetry,,2008-03-08,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
15303,CD-1250,Int'l Women's Day,Women,,,2008-03-08,unknown,CD,KBOO Archives Room,00:29:18,,,,,,,,,,,,,,,,,
15172,CD-1119,APA Compass-sample show,"Global Affairs, History",,,2008-03-07,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
16125,CD-2074,Antonia&BillMoyerOf BackboneCampaign,,,,2008-03-03,unknown,CD,KBOO Archives Room,,,Brad Vehafric,,,,,,,,,,,,,,,
15605,CD-1553,unknown title,,,,2008-03-03,unknown,CD,KBOO Archives Room,,,Malcolm Boyd,,,,,,,,,,,,,,,
15260,CD-1207,"Iraq, Kosovo and oil","Corporations, War/Peace, Global Affairs",,,2008-03-01,unknown,CD,KBOO Archives Room,,,Pepe Escobar,,,,,,,,,,,,,,,
15271,CD-1218,GlobalRhythm,,,,2008-02-28,unknown,CD,KBOO Archives Room,00:29:01,,,,,,,,,,,,,,,,,
15514,CD-1462,Globalizing Inequality',,,,2008-02-25,unknown,CD,KBOO Archives Room,,,P. Sainath,,,,,,,,,,,,,,,
15549,CD-1497,CD-1497 title,African American,Black Panthers,,2008-02-21,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
15263,CD-1210,unknown title,Arts/Culture,,,2008-02-21,unknown,CD,KBOO Archives Room,,,Arvie Smith,,,,,,,,,,,,,,,
15113,CD-1060,DIY Portland on education,Education,,,2008-02-21,unknown,CD,KBOO Archives Room,00:29:12,,Julie Sabatier (KBOO),KBOO,,,,,,,,,,,,,,
15183,CD-1130,CD-1130 title,"Government/Politics, Economy",TheMeaningOfFreedom,,2008-02-15,unknown,CD,KBOO Archives Room,00:59:00,,Angela Davis,,,,,,,,,,,,,,,
16270,CD-2219,nurse on being a healthcare provider,Health,,,2008-02-11,unknown,CD,KBOO Archives Room,,,Shelley Reese,,,,,,,,,,,,,,,
15061,CD-1008,CoHo Theatre,Arts/Culture,,,2008-02-09,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
15060,CD-1007,interview,Government/Politics,,,2008-02-08,unknown,CD,KBOO Archives Room,,,Dennis Kucinich,,,,,,,,,,,,,,,
15563,CD-1511,permaculture. Wrote 'Gaia's Garden,Agriculture,,,2008-02-07,unknown,CD,KBOO Archives Room,,,Toby Hemenway,,,,,,,,,,,,,,,
15059,CD-1006,interview,,,,2008-02-06,unknown,CD,KBOO Archives Room,,,Robert Parry,,,,,,,,,,,,,,,
15393,CD-1341,CD-1341 title,,,,2008-02-04,unknown,CD,KBOO Archives Room,00:59:00,,Michael Eric Dyson,,,,,,,,,,,,,,,
16305,CD-2254,wroteTooYoungToFeelOld on arthritis,"Health, Elders",,,2008-02-03,unknown,CD,KBOO Archives Room,,,Richard Blau,,,,,,,,,,,,,,,
